PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,MIN,GP,USG_PCT,AST_PCT,TS_PCT,OFF_RATING,DEF_RATING,PIE,3P_Attempt_Rate,PICK__ROLL_BALL_HANDLER_FREQ,PICK__ROLL_BALL_HANDLER_PPP,ISOLATION_FREQ,ISOLATION_PPP,HANDOFF_FREQ,HANDOFF_PPP,OFF_SCREEN_FREQ,OFF_SCREEN_PPP,CUT_FREQ,CUT_PPP,PUTBACK_FREQ,PUTBACK_PPP,POST_UP_FREQ,POST_UP_PPP,PICK__ROLL_ROLL_MAN_FREQ,PICK__ROLL_ROLL_MAN_PPP,SPOT_UP_FREQ,SPOT_UP_PPP,TRANSITION_FREQ,TRANSITION_PPP
1630811,Keaton Wallace,ATL,16.2,31,0.164,0.224,0.503,106.2,108.4,0.074,0.5061728395061729,0.275,0.8,0.095,0.789,0.055,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305,0.918,0.18,0.722
1631099,Keegan Murray,SAC,34.3,76,0.148,0.055,0.553,114.8,113.4,0.075,0.5475609756097561,0.036,1.0,0.013,1.25,0.1,0.835,0.043,1.0,0.052,1.213,0.057,0.981,0.0,0.0,0.018,0.688,0.409,1.043,0.243,1.149
1631232,Keion Brooks Jr.,NOP,23.7,14,0.169,0.062,0.581,100.7,121.2,0.079,0.3944954128440367,0.0,0.0,0.0,0.0,0.076,1.0,0.0,0.0,0.121,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.364,1.167,0.212,1.107
1642276,Kel'el Ware,MIA,22.2,64,0.169,0.062,0.603,112.8,110.9,0.119,0.2392241379310344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,1.269,0.152,1.06,0.034,1.0,0.24,1.203,0.153,1.0,0.103,1.263
1629640,Keldon Johnson,SAS,23.9,77,0.207,0.105,0.572,110.1,115.9,0.103,0.3558441558441558,0.078,1.042,0.06,1.036,0.075,0.943,0.02,1.316,0.068,1.349,0.068,1.254,0.012,0.909,0.026,1.167,0.309,0.909,0.256,1.151
203482,Kelly Olynyk,NOP,20.2,44,0.185,0.2,0.609,110.7,113.4,0.098,0.2947761194029851,0.087,0.667,0.05,1.182,0.0,0.0,0.058,0.7,0.116,1.5,0.087,1.267,0.131,1.069,0.156,1.148,0.145,0.92,0.121,1.238
1626162,Kelly Oubre Jr.,PHI,34.6,60,0.186,0.079,0.551,110.7,116.4,0.084,0.3265856950067476,0.151,0.867,0.064,0.789,0.055,1.041,0.012,0.182,0.085,1.566,0.086,1.078,0.0,0.0,0.015,1.385,0.282,0.952,0.202,1.099
1629026,Kenrich Williams,OKC,16.4,69,0.151,0.111,0.587,118.7,104.1,0.093,0.4830508474576271,0.088,1.056,0.032,0.846,0.025,0.7,0.0,0.0,0.088,1.306,0.054,0.818,0.0,0.0,0.069,1.036,0.387,1.038,0.189,1.325
203484,Kentavious Caldwell-Pope,MEM,29.6,77,0.121,0.086,0.574,109.1,108.6,0.065,0.6066176470588235,0.095,0.817,0.019,1.0,0.068,1.07,0.122,0.844,0.017,1.091,0.0,0.0,0.0,0.0,0.044,1.143,0.353,1.081,0.204,1.264
1631165,Keon Ellis,SAC,24.4,80,0.125,0.08,0.664,116.1,113.2,0.073,0.6918103448275862,0.065,1.054,0.019,0.727,0.06,0.912,0.018,2.2,0.03,1.529,0.028,1.125,0.0,0.0,0.025,1.143,0.436,1.201,0.236,1.311
