PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,Archetype_Name,Cluster,USG_PCT,AST_PCT,PICK__ROLL_BALL_HANDLER_FREQ,PICK__ROLL_ROLL_MAN_FREQ,SPOT_UP_FREQ,POST_UP_FREQ,OFF_SCREEN_FREQ,CUT_FREQ,ISOLATION_FREQ,TRANSITION_FREQ
1641710,Anthony Black,ORL,"P&R Handler, Transition, Spot Up",5,0.19,0.201,0.311,0.019,0.222,0.0,0.014,0.039,0.041,0.195
203076,Anthony Davis,DAL,"Elite Post Up, High Roll Man, High Usage",0,0.301,0.182,0.082,0.192,0.078,0.127,0.032,0.1,0.106,0.098
1630162,Anthony Edwards,MIN,"Elite Iso, Elite Usage, High Playmaking",4,0.307,0.209,0.333,0.007,0.11,0.017,0.057,0.014,0.196,0.151
1641810,Antonio Reeves,NOP,"Elite Off-Screen, Spot Up, Transition",6,0.183,0.089,0.109,0.0,0.287,0.0,0.061,0.065,0.051,0.235
1641709,Ausar Thompson,DET,"High Spot Up, Transition",1,0.185,0.139,0.061,0.056,0.144,0.02,0.0,0.175,0.045,0.284
1630559,Austin Reaves,LAL,"Elite P&R Handler, High Playmaking, High Usage",3,0.23,0.241,0.301,0.022,0.204,0.0,0.062,0.017,0.088,0.157
1630245,Ayo Dosunmu,CHI,"P&R Handler, Transition, Spot Up",5,0.163,0.21,0.191,0.0,0.295,0.0,0.0,0.038,0.0,0.315
1628389,Bam Adebayo,MIA,"Elite Post Up, High Roll Man, High Usage",0,0.232,0.204,0.027,0.179,0.144,0.129,0.024,0.132,0.118,0.113
1631248,Baylor Scheierman,BOS,"Elite Off-Screen, Spot Up, Transition",6,0.143,0.12,0.094,0.0,0.375,0.0,0.102,0.0,0.0,0.219
1641767,Ben Sheppard,IND,"High Spot Up, Transition",1,0.108,0.087,0.038,0.0,0.39,0.0,0.041,0.072,0.0,0.336
1627732,Ben Simmons,LAC,"Elite P&R Handler, High Playmaking, High Usage",3,0.133,0.358,0.144,0.052,0.037,0.089,0.0,0.163,0.096,0.233
1631097,Bennedict Mathurin,IND,"P&R Handler, Transition, Spot Up",5,0.222,0.09,0.23,0.0,0.136,0.0,0.051,0.063,0.105,0.259
1641731,Bilal Coulibaly,WAS,"P&R Handler, Transition, Spot Up",5,0.175,0.15,0.257,0.013,0.238,0.0,0.018,0.041,0.048,0.249
202687,Bismack Biyombo,SAS,Balanced / Low Usage Role,7,0.124,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631104,Blake Wesley,SAS,"P&R Handler, Transition, Spot Up",5,0.165,0.225,0.212,0.0,0.279,0.0,0.0,0.041,0.071,0.208
1626171,Bobby Portis,MIL,"Elite Post Up, High Roll Man, High Usage",0,0.234,0.126,0.0,0.158,0.202,0.238,0.0,0.085,0.06,0.111
203992,Bogdan Bogdanović,LAC,"Elite Off-Screen, Spot Up, Transition",6,0.183,0.152,0.265,0.08,0.245,0.0,0.113,0.0,0.047,0.285
1629626,Bol Bol,PHX,"High Spot Up, Transition",1,0.204,0.071,0.0,0.056,0.465,0.0,0.0,0.112,0.0,0.186
203078,Bradley Beal,PHX,"P&R Handler, Transition, Spot Up",5,0.219,0.177,0.251,0.026,0.273,0.0,0.048,0.054,0.067,0.149
1641764,Brandin Podziemski,GSW,"P&R Handler, Transition, Spot Up",5,0.177,0.194,0.198,0.024,0.283,0.0,0.035,0.051,0.048,0.182
1630527,Brandon Boston,NOP,Balanced / Low Usage Role,7,0.199,0.14,0.223,0.023,0.0,0.0,0.036,0.036,0.079,0.0
1629634,Brandon Clarke,MEM,"Elite Cutter, Elite Roll Man, Post Up",2,0.15,0.072,0.0,0.148,0.11,0.0,0.0,0.289,0.0,0.214
1627742,Brandon Ingram,TOR,"Elite Iso, Elite Usage, High Playmaking",4,0.305,0.28,0.247,0.026,0.165,0.075,0.068,0.0,0.153,0.125
