PLAYER_ID,SEASON,PRBallHandler_FREQ,PRBallHandler_PPP,PRRollMan_FREQ,PRRollMan_PPP
201572,2015-16,0.0,0.0,0.212,0.987
1897,2015-16,0.1,1.045,0.0,0.0
201577,2015-16,0.0,0.0,0.13,1.035
201578,2015-16,0.0,0.0,0.218,1.081
201579,2015-16,0.0,0.0,0.17,0.926
201580,2015-16,0.0,0.0,0.227,1.154
201581,2015-16,0.0,0.0,0.276,1.095
201583,2015-16,0.023,0.923,0.151,1.065
201584,2015-16,0.157,0.636,0.0,0.0
201584,2015-16,0.17,0.93,0.0,0.0
201582,2015-16,0.0,0.0,0.275,0.945
201585,2015-16,0.0,0.0,0.21,0.991
201587,2015-16,0.227,0.785,0.0,0.0
201588,2015-16,0.287,0.792,0.0,0.0
201586,2015-16,0.0,0.0,0.269,0.96
201589,2015-16,0.0,0.0,0.208,0.925
201593,2015-16,0.0,0.0,0.159,1.0
201596,2015-16,0.399,0.887,0.0,0.0
201596,2015-16,0.326,0.867,0.0,0.0
201599,2015-16,0.0,0.0,0.203,1.403
201600,2015-16,0.0,0.0,0.213,0.985
201601,2015-16,0.0,0.0,0.075,0.75
201603,2015-16,0.22,0.586,0.0,0.0
201609,2015-16,0.379,0.789,0.0,0.0
1938,2015-16,0.238,0.691,0.0,0.0
201627,2015-16,0.044,0.75,0.0,0.0
202681,2015-16,0.436,0.893,0.0,0.0
202682,2015-16,0.051,0.737,0.074,1.018
202683,2015-16,0.0,0.0,0.202,1.095
202684,2015-16,0.0,0.0,0.21,1.29
202685,2015-16,0.0,0.0,0.142,1.267
202687,2015-16,0.0,0.0,0.193,1.178
202688,2015-16,0.427,0.736,0.0,0.0
202689,2015-16,0.467,0.894,0.0,0.0
202691,2015-16,0.071,0.93,0.009,0.714
202692,2015-16,0.315,0.821,0.0,0.0
202693,2015-16,0.023,0.538,0.142,0.962
202693,2015-16,0.023,0.538,0.159,1.089
202694,2015-16,0.123,0.714,0.043,0.824
202695,2015-16,0.137,1.017,0.011,1.214
202696,2015-16,0.009,0.545,0.184,0.934
202697,2015-16,0.153,0.746,0.0,0.0
202699,2015-16,0.169,0.986,0.108,1.111
202699,2015-16,0.169,0.986,0.063,0.977
202699,2015-16,0.087,0.881,0.108,1.111
202699,2015-16,0.087,0.881,0.063,0.977
202700,2015-16,0.0,0.0,0.182,0.88
202702,2015-16,0.0,0.0,0.162,1.129
202703,2015-16,0.028,0.318,0.076,1.033
202704,2015-16,0.559,0.876,0.0,0.0
977,2015-16,0.21,0.836,0.009,0.833
202706,2015-16,0.129,1.167,0.0,0.0
202708,2015-16,0.477,0.824,0.0,0.0
202709,2015-16,0.462,0.879,0.0,0.0
202710,2015-16,0.317,0.894,0.009,1.167
202711,2015-16,0.123,0.761,0.0,0.0
202714,2015-16,0.356,0.673,0.0,0.0
202718,2015-16,0.186,0.887,0.012,0.9
202720,2015-16,0.0,0.0,0.235,1.182
202730,2015-16,0.0,0.0,0.172,1.0
202734,2015-16,0.248,0.796,0.0,0.0
202738,2015-16,0.31,0.857,0.0,0.0
2037,2015-16,0.296,0.817,0.0,0.0
1626143,2016-17,0.0,0.0,0.092,1.034
1626144,2016-17,0.288,0.727,0.0,0.0
1626145,2016-17,0.311,0.851,0.0,0.0
1626147,2016-17,0.067,0.625,0.0,0.0
1626147,2016-17,0.054,0.455,0.0,0.0
1626149,2016-17,0.03,1.538,0.245,1.105
1626150,2016-17,0.393,0.777,0.0,0.0
1626153,2016-17,0.47,0.91,0.0,0.0
200746,2016-17,0.0,0.0,0.191,0.942
1626155,2016-17,0.0,0.0,0.04,0.9
1626156,2016-17,0.396,0.76,0.0,0.0
1626157,2016-17,0.0,0.0,0.194,1.229
1626158,2016-17,0.0,0.0,0.225,1.228
200751,2016-17,0.28,0.587,0.0,0.0
200752,2016-17,0.146,0.771,0.025,0.786
1626159,2016-17,0.221,0.705,0.058,0.438
1626162,2016-17,0.079,0.667,0.0,0.0
200755,2016-17,0.072,0.896,0.0,0.0
1626164,2016-17,0.267,0.778,0.0,0.0
200757,2016-17,0.108,0.698,0.0,0.0
1626166,2016-17,0.459,0.618,0.0,0.0
1626166,2016-17,0.295,0.609,0.0,0.0
1626163,2016-17,0.011,0.4,0.216,1.054
1626168,2016-17,0.039,0.81,0.139,0.907
1626169,2016-17,0.266,0.705,0.0,0.0
1626170,2016-17,0.234,0.784,0.0,0.0
1626167,2016-17,0.0,0.0,0.303,1.033
1626171,2016-17,0.0,0.0,0.139,0.721
200765,2016-17,0.393,0.622,0.0,0.0
1626173,2016-17,0.099,0.706,0.0,0.0
200768,2016-17,0.391,1.052,0.011,1.154
1626178,2016-17,0.094,0.575,0.045,0.857
200771,2016-17,0.467,0.721,0.0,0.0
1626179,2016-17,0.229,0.793,0.0,0.0
1626181,2016-17,0.284,0.968,0.0,0.0
1626184,2016-17,0.297,0.5,0.0,0.0
1626185,2016-17,0.0,0.0,0.129,0.615
1626188,2016-17,0.468,0.864,0.0,0.0
1626188,2016-17,0.353,1.25,0.0,0.0
200782,2016-17,0.023,0.6,0.038,1.118
1626195,2016-17,0.0,0.0,0.218,1.163
1626196,2016-17,0.246,0.725,0.0,0.0
200794,2016-17,0.016,0.571,0.234,0.86
1626204,2016-17,0.0,0.0,0.223,0.931
1626209,2016-17,0.152,0.758,0.0,0.0
1626210,2016-17,0.0,0.0,0.237,1.083
203895,2016-17,0.208,0.486,0.0,0.0
203897,2016-17,0.222,0.851,0.0,0.0
200826,2016-17,0.602,0.802,0.0,0.0
203898,2016-17,0.503,0.875,0.0,0.0
203901,2016-17,0.375,0.814,0.0,0.0
203902,2016-17,0.364,0.569,0.0,0.0
203903,2016-17,0.359,0.806,0.0,0.0
203909,2016-17,0.188,0.76,0.0,0.0
1626245,2016-17,0.0,0.0,0.276,1.123
203914,2016-17,0.124,0.811,0.0,0.0
203915,2016-17,0.422,0.989,0.0,0.0
203917,2016-17,0.177,0.692,0.0,0.0
203918,2016-17,0.269,0.91,0.0,0.0
1626257,2016-17,0.0,0.0,0.243,1.44
203922,2016-17,0.073,0.467,0.0,0.0
203924,2016-17,0.045,0.579,0.06,1.4
203925,2016-17,0.095,0.81,0.0,0.0
