Team,Budget_Status,Player,Action,Contract_Value,Contract_Type,Fit_Reason,Archetypes,Score
CHI,Over Cap (MLE/Min only),Sandro Mamukelashvili,Sign (Cap Space/MLE),"$2,631,405",Minimum/Low,Defensive Fit,"High Spot Up, Transition / Versatile",1
CHI,Over Cap (MLE/Min only),Trendon Watford,Sign (Cap Space/MLE),"$2,631,405",Minimum/Low,Defensive Fit,"Elite P&R Handler, High Playmaking, High Usage / Versatile",1
CHI,Over Cap (MLE/Min only),Bismack Biyombo,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Balanced / Low Usage Role / Anchor Big / Rim Protector,1
CHI,Over Cap (MLE/Min only),Alex Len,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Unknown / Anchor Big / Rim Protector,1
CHI,Over Cap (MLE/Min only),Mason Plumlee,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,"Elite Cutter, Elite Roll Man, Post Up / Anchor Big / Rim Protector",1
CHI,Over Cap (MLE/Min only),Doug McDermott,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Unknown / Guards SF (),1
CHI,Over Cap (MLE/Min only),Spencer Dinwiddie,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,"Elite Iso, Elite Usage, High Playmaking / Guards SF ()",1
CHI,Over Cap (MLE/Min only),Seth Curry,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,"Elite Off-Screen, Spot Up, Transition / Guards SF ()",1
SAS,Over Cap (MLE/Min only),Adam Flagler,Re-sign (Bird Rights),"$2,296,274",Minimum/Low,Defensive Fit,Unknown / Guards SF (),1
SAS,Over Cap (MLE/Min only),Doug McDermott,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Unknown / Guards SF (),1
SAS,Over Cap (MLE/Min only),Spencer Dinwiddie,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,"Elite Iso, Elite Usage, High Playmaking / Guards SF ()",1
SAS,Over Cap (MLE/Min only),Micah Potter,Re-sign (Bird Rights),"$2,461,463",Minimum/Low,Defensive Fit,"High Spot Up, Transition / Versatile",1
NOP,Over Cap (MLE/Min only),Kevon Looney,Re-sign (Bird Rights),"$8,000,000",Mid-Level,Defensive Fit,"Elite Cutter, Elite Roll Man, Post Up / Anchor Big / Rim Protector",1
NOP,Over Cap (MLE/Min only),Bismack Biyombo,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Balanced / Low Usage Role / Anchor Big / Rim Protector,1
NOP,Over Cap (MLE/Min only),Alex Len,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Unknown / Anchor Big / Rim Protector,1
NOP,Over Cap (MLE/Min only),Chris Boucher,Sign (Cap Space/MLE),"$3,287,409",Minimum/Low,Defensive Fit,"High Spot Up, Transition / Versatile",1
NOP,Over Cap (MLE/Min only),Sandro Mamukelashvili,Sign (Cap Space/MLE),"$2,631,405",Minimum/Low,Defensive Fit,"High Spot Up, Transition / Versatile",1
NOP,Over Cap (MLE/Min only),Trendon Watford,Sign (Cap Space/MLE),"$2,631,405",Minimum/Low,Defensive Fit,"Elite P&R Handler, High Playmaking, High Usage / Versatile",1
MEM,Over Cap (MLE/Min only),Cam Spencer,Re-sign (Bird Rights),"$2,599,130",Minimum/Low,Defensive Fit,"High Spot Up, Transition / Guards SF ()",1
MEM,Over Cap (MLE/Min only),Santi Aldama,Re-sign (Bird Rights),"$17,500,001",High Value,Defensive Fit,"High Spot Up, Transition / Versatile",1
MEM,Over Cap (MLE/Min only),Doug McDermott,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Unknown / Guards SF (),1
MEM,Over Cap (MLE/Min only),Bismack Biyombo,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Balanced / Low Usage Role / Anchor Big / Rim Protector,1
GSW,Over Cap (MLE/Min only),Pat Spencer,Re-sign (Bird Rights),$0,Minimum/Low,Defensive Fit,Unknown / Guards PG (High Disruptor),1
GSW,Over Cap (MLE/Min only),Al Horford,Re-sign (Bird Rights),"$5,827,125",Mid-Level,Defensive Fit,"High Spot Up, Transition / Versatile",1
GSW,Over Cap (MLE/Min only),Jonathan Kuminga,Re-sign (Bird Rights),"$23,400,000",High Value,Defensive Fit,"P&R Handler, Transition, Spot Up / Versatile",1
UTA,Over Cap (MLE/Min only),Oscar Tshiebwe,Re-sign (Bird Rights),$0,Minimum/Low,Defensive Fit,"Elite Cutter, Elite Roll Man, Post Up / Guards C (High Rebounding)",1
UTA,Over Cap (MLE/Min only),Moritz Wagner,Sign (Cap Space/MLE),"$5,000,000",Minimum/Low,Defensive Fit,"Elite Post Up, High Roll Man, High Usage / Guards C (High Rebounding)",1
